1,Hi!,anamaria2002@gmail.com,alexandra2002@gmail.com
2,Hello,alexandra2002@gmail.com,anamaria2002@gmail.com
3,Bye,anamaria2002@gmail.com,mihai1200@yahoo.com
4,Salut,mihai1200@yahoo.com,anamaria2002@gmail.com
9,Ok,alexandra2002@gmail.com,daniel2076@yahoo.com
10,see you later!,daniel2076@yahoo.com,alexandra2002@gmail.com
11,call me,daniel2076@yahoo.com,sorinpopescu@gmail.com
12,ok,sorinpopescu@gmail.com,daniel2076@yahoo.com
15,I can t go out,victoria23@gmail.com,iustintomescu45@yahoo.com
16,ok see you tomorrow,iustintomescu45@yahoo.com,victoria23@gmail.com
17,yes,victoria23@gmail.com,anapop@gmail.com
18,no,anapop@gmail.com,victoria23@gmail.com
19,can you talk for a second?,anapop@gmail.com,iustintomescu45@yahoo.com
20,of course,iustintomescu45@yahoo.com,anapop@gmail.com
21,bye bye,stancugeorge15@gmail.com,mihaiandrei@gmail.com
22,byee,mihaiandrei@gmail.com,stancugeorge15@gmail.com
23,Hello!,stancugeorge15@gmail.com,iustintomescu45@yahoo.com
24,Hi,iustintomescu45@yahoo.com,stancugeorge15@gmail.com
25,salut,mihaiandrei@gmail.com,monicaalexandra19@gmail.com
26,hei,monicaalexandra19@gmail.com,mihaiandrei@gmail.com
29,I need to talk to u.Call me,robertnegru@gmail.com,roberta23432@yahoo.com
30,when I am home,roberta23432@yahoo.com,robertnegru@gmail.com
31,hi,robertnegru@gmail.com,anamaria123@yahoo.com
32,Good morning!,anamaria123@yahoo.com,robertnegru@gmail.com
33,tonight is ok?,anamaria123@yahoo.com,roberta23432@yahoo.com
34,yeah,roberta23432@yahoo.com,anamaria123@yahoo.com
37,fine,mihai1200@yahoo.com,anamaria123@yahoo.com
38,i can t go out,anamaria123@yahoo.com,mihai1200@yahoo.com
39,see you later,alaxandra2354@yahoo.com,mihai1200@yahoo.com
40,Have a nice day!,mihai1200@yahoo.com,alaxandra2354@yahoo.com
41,Test,anamaria123@yahoo.com,robertnegru@gmail.com
